N T union_alg comp_alg step path_len point_upd ngroups
10000 0 0 0 9750 5321641 0 1727
10000 0 0 0 10000 5734228 0 1636
10000 0 0 0 10250 6040963 0 1549
10000 0 0 0 10500 6310703 0 1476
10000 0 0 0 10750 6624961 0 1390
10000 0 0 0 11000 6943080 0 1323
10000 0 0 0 11250 7239591 0 1246
10000 0 0 0 11500 7427785 0 1186
10000 0 0 0 11750 7661269 0 1124
10000 0 0 0 12000 7957712 0 1067
10000 0 0 0 12250 8256848 0 1003
10000 0 0 0 12500 8479091 0 945
10000 0 0 0 12750 8613291 0 910
10000 0 0 0 13000 8856616 0 855
10000 0 0 0 13250 9047040 0 808
10000 0 0 0 13500 9284213 0 763
10000 0 0 0 13750 9486064 0 713
10000 0 0 0 14000 9652135 0 672
10000 0 0 0 14250 9846973 0 625
10000 0 0 0 14500 10070896 0 588
10000 0 0 0 14750 10164618 0 563
10000 0 0 0 15000 10296174 0 536
10000 0 0 0 15250 10409443 0 508
10000 0 0 0 15500 10513598 0 485
10000 0 0 0 15750 10665607 0 455
10000 0 0 0 16000 10741842 0 437
10000 0 0 0 16250 10837299 0 418
10000 0 0 0 16500 10933050 0 395
10000 0 0 0 16750 11057820 0 371
10000 0 0 0 17000 11173300 0 348
10000 0 0 0 17250 11250509 0 326
10000 0 0 0 17500 11366541 0 307
10000 0 0 0 17750 11434335 0 298
10000 0 0 0 18000 11511897 0 286
10000 0 0 0 18250 11579870 0 270
10000 0 0 0 18500 11638241 0 257
10000 0 0 0 18750 11657722 0 249
10000 0 0 0 19000 11735764 0 233
10000 0 0 0 19250 11804138 0 221
10000 0 0 0 19500 11862867 0 203
10000 0 0 0 19750 11941273 0 192
10000 0 0 0 20000 11960910 0 181
10000 0 0 0 20250 12059139 0 169
10000 0 0 0 20500 12078803 0 165
10000 0 0 0 20750 12167373 0 152
10000 0 0 0 21000 12206773 0 145
10000 0 0 0 21250 12226482 0 143
10000 0 0 0 21500 12285637 0 135
10000 0 0 0 21750 12354730 0 124
10000 0 0 0 22000 12394236 0 120
10000 0 0 0 22250 12394239 0 117
10000 0 0 0 22500 12423897 0 112
10000 0 0 0 22750 12423899 0 110
10000 0 0 0 23000 12443686 0 106
10000 0 0 0 23250 12453586 0 102
10000 0 0 0 23500 12493189 0 97
10000 0 0 0 23750 12503097 0 93
10000 0 0 0 24000 12513009 0 89
10000 0 0 0 24250 12532836 0 85
10000 0 0 0 24500 12562590 0 81
10000 0 0 0 24750 12572512 0 78
10000 0 0 0 25000 12582437 0 76
10000 0 0 0 25250 12602297 0 71
10000 0 0 0 25500 12622160 0 68
10000 0 0 0 25750 12642029 0 64
10000 0 0 0 26000 12642032 0 61
10000 0 0 0 26250 12661913 0 59
10000 0 0 0 26500 12671859 0 55
10000 0 0 0 26750 12701701 0 51
10000 0 0 0 27000 12701702 0 50
10000 0 0 0 27250 12731563 0 44
10000 0 0 0 27500 12741520 0 43
