N T union_alg comp_alg time
1000 17 0 3 0.4818
5000 17 0 3 3.0628
10000 17 0 3 9.0879
1000 18 0 3 0.4035
5000 18 0 3 3.3083
10000 18 0 3 8.3634
1000 19 0 3 0.4271
5000 19 0 3 4.3514
10000 19 0 3 7.783
1000 0 0 4 0.4085
5000 0 0 4 2.9383
10000 0 0 4 5.5709
1000 1 0 4 0.4387
5000 1 0 4 2.6073
10000 1 0 4 4.9115
1000 2 0 4 0.3802
5000 2 0 4 3.0861
10000 2 0 4 5.2228
1000 3 0 4 0.548
5000 3 0 4 2.8192
10000 3 0 4 7.2556
1000 4 0 4 0.5085
5000 4 0 4 2.9709
10000 4 0 4 9.4261
1000 5 0 4 0.3898
5000 5 0 4 2.5583
10000 5 0 4 8.4146
1000 6 0 4 0.4305
5000 6 0 4 6.0843
10000 6 0 4 5.5337
1000 7 0 4 0.6225
5000 7 0 4 2.6408
10000 7 0 4 4.9604
1000 8 0 4 0.38
5000 8 0 4 2.3692
10000 8 0 4 6.9128
1000 9 0 4 0.7943
5000 9 0 4 2.5519
10000 9 0 4 10.5603
1000 10 0 4 0.3531
5000 10 0 4 2.8338
10000 10 0 4 7.4873
1000 11 0 4 0.5111
5000 11 0 4 5.1065
10000 11 0 4 4.8342
1000 12 0 4 0.5916
5000 12 0 4 3.0751
10000 12 0 4 6.6023
1000 13 0 4 0.3905
5000 13 0 4 2.5365
10000 13 0 4 7.9131
1000 14 0 4 0.4668
5000 14 0 4 2.3301
10000 14 0 4 8.6688
1000 15 0 4 0.5112
5000 15 0 4 3.6121
10000 15 0 4 6.6259
1000 16 0 4 0.4119
5000 16 0 4 5.8372
10000 16 0 4 6.1725
1000 17 0 4 0.3027
5000 17 0 4 2.629
10000 17 0 4 7.637
1000 18 0 4 0.3712
5000 18 0 4 2.6172
10000 18 0 4 8.8689
1000 19 0 4 0.3522
5000 19 0 4 3.8294
10000 19 0 4 5.9705
1000 0 1 0 0.5869
5000 0 1 0 3.1046
10000 0 1 0 5.9412
1000 1 1 0 0.6404
5000 1 1 0 4.5876
10000 1 1 0 9.1415
1000 2 1 0 0.4077
5000 2 1 0 2.383
10000 2 1 0 6.9575
1000 3 1 0 0.4405
5000 3 1 0 3.783
10000 3 1 0 6.7107
1000 4 1 0 0.485
5000 4 1 0 3.7081
10000 4 1 0 5.8837
1000 5 1 0 0.5266
5000 5 1 0 2.6117
10000 5 1 0 7.897
1000 6 1 0 0.4493
5000 6 1 0 4.7315
10000 6 1 0 7.0991
1000 7 1 0 0.4028
5000 7 1 0 2.5135
10000 7 1 0 6.0572
1000 8 1 0 0.3741
5000 8 1 0 3.8849
10000 8 1 0 7.1163
1000 9 1 0 0.8354
5000 9 1 0 2.6608
10000 9 1 0 5.9658
1000 10 1 0 0.531
5000 10 1 0 2.4694
10000 10 1 0 5.8351
1000 11 1 0 0.3236
5000 11 1 0 3.0211
10000 11 1 0 5.5689
1000 12 1 0 0.4711
5000 12 1 0 2.3131
10000 12 1 0 8.2825
1000 13 1 0 0.3997
5000 13 1 0 4.1525
10000 13 1 0 6.3775
1000 14 1 0 0.6316
5000 14 1 0 3.6818
10000 14 1 0 5.5455
1000 15 1 0 0.3203
5000 15 1 0 3.0691
10000 15 1 0 5.745
1000 16 1 0 0.4893
5000 16 1 0 2.2961
10000 16 1 0 4.8072
1000 17 1 0 0.4504
5000 17 1 0 2.6672
10000 17 1 0 6.6857
1000 18 1 0 0.3705
5000 18 1 0 2.6167
10000 18 1 0 8.8
1000 19 1 0 0.3992
5000 19 1 0 4.9962
10000 19 1 0 6.1281
1000 0 1 1 0.362
5000 0 1 1 2.57
10000 0 1 1 5.0966
1000 1 1 1 0.3958
5000 1 1 1 2.3145
10000 1 1 1 4.6647
1000 2 1 1 0.8388
5000 2 1 1 4.6206
10000 2 1 1 8.3083
1000 3 1 1 0.3815
5000 3 1 1 3.0089
10000 3 1 1 10.6703
